row_number,store_code,id,price,availability
2,1,9991,35,in_stock
3,1,44238,80,in_stock
4,1,15069,65,in_stock
5,1,51640,60,out_of_stock
6,1,11880,75,in_stock
7,1,6027,65,in_stock
8,1,53129,10,in_stock
9,1,901374,35,in_stock
10,1,1095,5,in_stock
11,1,A002,65,in_stock
12,1,GE335,60,in_stock
13,1,G058,65,in_stock
14,1,G329,65,in_stock
15,1,G002,45,in_stock
16,1,GE011,45,in_stock
17,1,GE235,45,in_stock
18,1,51717,65,out_of_stock
19,1,9443,65,out_of_stock
20,1,43173,25,out_of_stock
21,1,54991,15,in_stock
22,1,11985,10,in_stock
23,1,22555,220,in_stock
24,1,4667,15,in_stock
25,1,9075,25,in_stock
26,1,53729,10,in_stock
27,1,5521,25,in_stock
28,1,4434,15,in_stock
29,1,5658,170,in_stock
30,1,8932,220,in_stock
31,1,4272,50,in_stock
32,1,44024,25,in_stock
33,1,44154,65,in_stock
34,1,8220,25,out_of_stock
35,1,2410,40,in_stock
36,1,14087,65,in_stock
37,1,6426,60,out_of_stock
38,1,29887,35,in_stock
39,1,6256,100,in_stock
40,1,9782,45,in_stock
41,1,10022,50,out_of_stock
42,1,9062,35,in_stock
43,1,1321,65,in_stock
44,1,6915,15,in_stock
45,1,6047,10,in_stock
46,1,6430,25,in_stock
47,1,5338,10,out_of_stock
48,1,3997,30,in_stock
49,1,500218,30,in_stock
50,1,50168,160,in_stock
51,1,81340,130,in_stock
52,1,3999,40,in_stock
53,1,835,5,in_stock
54,1,1261,5,in_stock
55,1,43131,95,in_stock
56,1,43418,10,in_stock
57,1,43417,10,in_stock
58,1,186,35,in_stock
59,1,52587,25,in_stock
60,1,40748,20,in_stock
61,1,152375,40,out_of_stock
62,1,106869,45,out_of_stock
63,1,5355,5,in_stock
64,1,420386,5,in_stock
65,1,764,5,in_stock
66,1,44766,5,in_stock
67,1,44459,5,in_stock
68,1,43295,5,in_stock
69,1,757,5,in_stock
70,1,5350,5,in_stock
71,1,9357,5,in_stock
72,1,43851,5,in_stock
73,1,44756,5,out_of_stock
74,1,901358,5,in_stock
75,1,44791,5,in_stock
76,1,44760,5,in_stock
77,1,44753,5,in_stock
78,1,44752,5,in_stock
79,1,8186,5,in_stock
80,1,624,5,in_stock
81,1,8184,5,in_stock
82,1,44664,5,in_stock
83,1,44996-1,445,out_of_stock
84,1,81278,10,in_stock
85,1,81277,10,in_stock
86,1,16516,10,in_stock
87,1,4,70,out_of_stock
88,1,153326,105,in_stock
89,1,901258,75,in_stock
90,1,778,5,in_stock
91,1,813,10,out_of_stock
92,1,39872,30,in_stock
93,1,6249,25,in_stock
94,1,6244,30,in_stock
95,1,14669,95,in_stock
96,1,14666,95,in_stock
97,1,44931,235,in_stock
98,1,1308,15,in_stock
99,1,9184,20,in_stock
100,1,9185,50,out_of_stock
101,1,107665,15,in_stock
102,1,302055,20,in_stock
103,1,2063,15,in_stock
104,1,8769,15,in_stock
105,1,8366,130,in_stock
106,1,56309,20,in_stock
107,1,57379,30,in_stock
108,1,8367,130,in_stock
109,1,44137,20,in_stock
110,1,44135,20,in_stock
111,1,51523,20,in_stock
112,1,51524,20,in_stock
113,1,44138,35,in_stock
114,1,52196,5,in_stock
115,1,52195,5,in_stock
116,1,52194,5,out_of_stock
117,1,52193,5,in_stock
118,1,42997,15,in_stock
119,1,409203,110,in_stock
120,1,9103,190,in_stock
121,1,1293,5,in_stock
122,1,1310,5,out_of_stock
123,1,11481,5,in_stock
124,1,1297,5,in_stock
125,1,41549,75,in_stock
126,1,43864,25,in_stock
127,1,564,60,out_of_stock
128,1,44250,20,in_stock
129,1,52991,15,in_stock
130,1,794257,15,in_stock
131,1,3819,15,in_stock
132,1,44234,25,in_stock
133,1,4087,40,out_of_stock
134,1,9793,30,in_stock
135,1,8171,45,in_stock
136,1,5717,30,in_stock
137,1,80062,5,in_stock
138,1,9728,10,out_of_stock
139,1,44363,20,in_stock
140,1,44959,25,in_stock
141,1,44366,25,in_stock
142,1,44958,25,in_stock
143,1,51601,20,in_stock
144,1,51321,20,in_stock
145,1,382,15,in_stock
146,1,80333,25,in_stock
147,1,80334,20,in_stock
148,1,6580,710,out_of_stock
149,1,56678,125,in_stock
150,1,KIT-000001,1430,out_of_stock
151,1,KIT-000011,140,out_of_stock
152,1,58319,40,in_stock
153,1,10048,35,out_of_stock
154,1,50886,105,in_stock
155,1,82220,95,in_stock
156,1,7279,35,out_of_stock
157,1,14713,30,in_stock
158,1,9968,325,in_stock
159,1,13941,115,in_stock
160,1,11213,170,in_stock
161,1,50546,185,in_stock
162,1,11209,130,in_stock
163,1,GE287,45,in_stock
164,1,GE021,40,in_stock
165,1,GE028,45,in_stock
166,1,GE040,45,in_stock
167,1,GE270,45,in_stock
168,1,GE045,45,in_stock
169,1,G190,45,in_stock
170,1,G004,45,in_stock
171,1,GE004,45,in_stock
172,1,GE044,45,in_stock
173,1,GE016,35,in_stock
174,1,GE343,45,in_stock
175,1,G183,90,in_stock
176,1,GE346,45,in_stock
177,1,GE001,45,in_stock
178,1,GE121,45,in_stock
179,1,GE303,45,in_stock
180,1,GE019,45,in_stock
181,1,GE008,35,in_stock
182,1,GE042,45,in_stock
183,1,GE023,45,in_stock
184,1,GE302,45,in_stock
185,1,GE024,45,in_stock
186,1,14294,60,in_stock
187,1,GE002,45,in_stock
188,1,GE330,45,in_stock
189,1,G259,45,in_stock
190,1,GE370,45,in_stock
191,1,GE036,45,in_stock
192,1,G139,45,in_stock
193,1,GE039,45,in_stock
194,1, G109,60,in_stock
195,1,GE010,45,in_stock
196,1,101045,45,in_stock
197,1,GE007,45,in_stock
198,1,GE225,45,in_stock
199,1, GE022,45,in_stock
200,1,GE092,45,in_stock
201,1,GE043,45,in_stock
202,1,GE216,45,out_of_stock
203,1,GE174,45,in_stock
204,1,GE306,45,in_stock
205,1,G030,45,in_stock
206,1,GE052,45,in_stock
207,1, GE358,45,in_stock
208,1,G025,45,in_stock
209,1,GE093,45,in_stock
210,1,GE299,45,in_stock
211,1,G299,80,in_stock
212,1,GE077,45,in_stock
213,1,GE009,45,in_stock
214,1,GE031,40,in_stock
215,1,GE047,45,in_stock
216,1,GE340,45,out_of_stock
217,1,GE012,45,in_stock
218,1,GE310,45,in_stock
219,1,5638,290,in_stock
220,1,9079,25,in_stock
221,1,292,25,in_stock
222,1,4223,315,in_stock
223,1,1371,50,in_stock
224,1,1354,65,in_stock
225,1,44370,65,in_stock
226,1,42970,80,in_stock
227,1,1161,170,in_stock
228,1,7588,100,in_stock
229,1,1200,130,in_stock
230,1,1025,10,in_stock
231,1,54955,25,in_stock
232,1,42989,5,in_stock
233,1,5630,25,out_of_stock
234,1,1500,40,in_stock
235,1,140,35,in_stock
236,1,43479,5,in_stock
237,1,54090,20,in_stock
238,1,9205,15,in_stock
239,1,1129,20,in_stock
240,1,9104,15,out_of_stock
241,1,6344,10,in_stock
242,1,580,20,in_stock
243,1,5620,15,in_stock
244,1,51078,85,in_stock
245,1,51079,75,in_stock
246,1,5245,215,in_stock
247,1,5246,190,in_stock
248,1,8149,30,out_of_stock
249,1,9863,20,in_stock
250,1,9861,20,in_stock
251,1,51713,40,out_of_stock
252,1,51516,175,in_stock
253,1,42879,65,in_stock
254,1,42180,60,in_stock
255,1,1332,30,out_of_stock
256,1,51513,30,in_stock
257,1,131,20,in_stock
258,1,6619,210,in_stock
259,1,98119,90,in_stock
260,1,40041,10,in_stock
261,1,1239,30,in_stock
262,1,904593,5,in_stock
263,1,901361,50,in_stock
264,1,4186,30,in_stock
265,1,9458-1,90,in_stock
266,1,3156,310,in_stock
267,1,9456-1,75,in_stock
268,1,42850,110,out_of_stock
269,1,009030-1,130,in_stock
270,1,009031-1,130,in_stock
